IdRestaurante,Nome,Média de Estrelas,Quantidade de Reviews,Faixa de Preço,Categoria,Bairro,Possui Reserva,Oferece Retirada,Oferece Delivery,Possui Muitas Opções Vegetarianas,Possui Opções Veganas,Agilidade no Serviço,Lentidão no Serviço,Variedade de Opções,Cardápio Limitado,Sabor Agradável,Sabor Insatisfatório,Ingredientes de Qualidade,Ingredientes de Baixa Qualidade,Pratos Apresentáveis,Má Apresentação dos Pratos,Atendimento Bom,Atendimento Ruim,Ambiente Confortável,Ambiente Desconfortável,Bom Custo-Benefício,Preços Elevados,Recomendo,Não Recomendo,Voltaria,Não Voltaria,Outros Positivos,Outros Negativos
0,Churrascaria Palace,4.3,162,5,Steakhouses,Copacabana,True,False,False,True,False,3,29,38,15,14,35,18,24,37,29,11,1,0,5,0,0,3,4,4,3,3,3
1,Confeitaria Colombo,4.2,157,3,Cafes,Lapa,False,True,False,False,False,4,17,32,3,18,23,43,17,38,34,11,5,4,9,0,2,6,3,6,8,8,3
2,Aprazível,4.3,147,4,Brazilian,Santa Teresa,True,False,False,False,True,7,11,45,10,29,29,45,30,50,42,12,6,2,8,0,2,7,2,8,4,4,2
3,Garota de Ipanema,3.9,128,3,Brazilian,Del Castilho,True,False,False,False,False,2,11,41,8,25,32,24,28,40,40,11,0,1,7,1,0,6,4,2,4,2,5
4,Marius Degustare,4.0,126,5,Mediterranean,Copacabana,True,False,False,True,False,7,30,37,11,22,39,40,26,43,40,12,2,2,10,2,0,9,4,15,10,8,6
5,Zazá Bistrô Tropical,4.2,124,4,Bistros,Ipanema,True,True,True,False,False,7,20,49,16,30,35,42,18,50,40,14,3,0,7,2,1,5,1,8,5,5,2
6,Bar Urca,4.4,115,3,Brazilian,Botafogo,False,True,False,False,False,2,5,27,6,14,15,27,16,33,29,12,1,0,2,0,1,3,1,3,2,1,1
7,Nomangue,4.2,106,3,Seafood,Copacabana,True,True,False,True,False,5,15,54,17,33,43,14,35,50,44,13,1,1,5,0,0,4,2,5,6,1,2
8,Via Sete,4.2,87,3,Modern European,Ipanema,True,False,False,True,False,9,21,51,11,20,39,39,27,42,41,10,4,0,9,0,2,4,2,7,4,2,6
9,Fogo de Chão,3.9,79,5,Steakhouses,Desconhecido,True,False,False,True,False,4,18,33,8,11,31,19,19,27,20,12,2,3,8,0,1,15,6,7,14,12,8
10,Churrascaria Carretão,3.9,75,4,Steakhouses,Ipanema,True,False,True,False,True,1,22,24,5,6,17,4,23,25,18,4,2,1,9,1,0,6,4,7,7,7,3
11,Galeto Sat's,4.5,73,3,Dive Bars,Copacabana,False,True,False,False,False,6,8,35,9,22,23,12,22,31,31,8,0,0,2,0,0,2,1,0,1,1,1
12,Gringo Café,4.2,69,3,American,Ipanema,True,True,False,False,False,7,17,40,6,10,41,20,24,41,36,6,0,1,9,1,0,3,1,2,1,1,7
13,CT Boucherie,4.7,65,5,French,Leblon,False,False,False,True,False,6,25,37,13,19,22,14,25,35,30,8,0,1,1,0,0,2,0,3,3,1,2
14,Sushi Leblon,3.8,65,5,Japanese,Leblon,True,True,True,True,False,9,17,35,11,16,26,17,24,32,19,11,5,2,14,1,3,11,3,9,7,7,5
